"filename", "language", "TypeScript", "JSON with Comments", "TypeScript React", "XML", "CSS", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\loader\loader-backdrop.tsx", "TypeScript React", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\loader\loader-component.tsx", "TypeScript React", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\me\carousel-items.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\me\me-class.tsx", "TypeScript React", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 10, 74
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\me\me-component.tsx", "TypeScript React", 0, 0, 303, 0, 0, 0, 0, 0, 0, 7, 27, 337
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\me\playlist-component.tsx", "TypeScript React", 0, 0, 121, 0, 0, 0, 0, 0, 0, 1, 18, 140
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\me\playlists.styles.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\me\styles.css", "CSS", 0, 0, 0, 0, 77, 0, 0, 0, 0, 1, 11, 89
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\notification\notification-component.tsx", "TypeScript React", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\notification\notification-options.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\player\player-component.tsx", "TypeScript React", 0, 0, 462, 0, 0, 0, 0, 0, 0, 3, 71, 536
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\player\player.styles.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\routes\dashboard-routes.tsx", "TypeScript React", 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 11, 60
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\routes\home-routes.tsx", "TypeScript React", 0, 0, 37, 0, 0, 0, 0, 0, 0, 76, 4, 117
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\routes\routes.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
